k,t,M2,total,symerr,chi,secs
1,0.2000,2.42921494e-02,1.53552478e+13,3.639664e-10,6,10.284
2,0.4000,9.64599181e-02,1.53552278e+13,4.544698e-09,8,1.184
3,0.6000,2.14497333e-01,1.53551975e+13,2.100026e-08,12,1.003
4,0.8000,3.75449413e-01,1.53551678e+13,2.517136e-07,16,0.929
5,1.0000,5.75861656e-01,1.53551376e+13,4.783063e-07,19,0.946
6,1.2000,8.12281880e-01,1.53551160e+13,8.174147e-07,23,1.023
7,1.4000,1.08162799e+00,1.53551008e+13,2.194255e-06,27,1.349
8,1.6000,1.38140742e+00,1.53550965e+13,4.433849e-06,31,1.450
9,1.8000,1.70973561e+00,1.53550993e+13,6.395436e-06,36,1.428
10,2.0000,2.06521510e+00,1.53551057e+13,8.175953e-06,42,2.022
11,2.2000,2.44671934e+00,1.53551284e+13,9.498120e-06,47,2.311
12,2.4000,2.85319091e+00,1.53551252e+13,9.684517e-06,53,2.402
13,2.6000,3.28346492e+00,1.53551197e+13,1.432179e-05,59,2.852
14,2.8000,3.73625616e+00,1.53550543e+13,1.874462e-05,67,3.674
15,3.0000,4.21019134e+00,1.53549554e+13,2.891171e-05,73,4.055
16,3.2000,4.70399150e+00,1.53548324e+13,2.999498e-05,79,4.482
17,3.4000,5.21671436e+00,1.53549056e+13,4.797314e-05,86,4.937
18,3.6000,5.74793868e+00,1.53555696e+13,5.343116e-05,90,5.130
19,3.8000,6.29804399e+00,1.53577090e+13,1.135236e-04,96,6.180
20,4.0000,6.86830115e+00,1.53612997e+13,2.530597e-04,96,6.041
21,4.2000,7.45591638e+00,1.53638370e+13,4.540943e-04,96,6.480
22,4.4000,8.05758384e+00,1.53640352e+13,6.105289e-04,96,6.925
23,4.6000,8.67569867e+00,1.53623334e+13,9.541708e-04,96,9.332
24,4.8000,9.31432826e+00,1.53566700e+13,1.332345e-03,96,8.116
25,5.0000,9.96668377e+00,1.53494777e+13,1.881455e-03,96,8.788
26,5.2000,1.06280269e+01,1.53482237e+13,1.919290e-03,96,9.429
27,5.4000,1.13054768e+01,1.53484092e+13,2.687564e-03,96,10.722
28,5.6000,1.19975278e+01,1.53573724e+13,3.333715e-03,96,10.602
29,5.8000,1.27021648e+01,1.53615932e+13,4.528884e-03,96,11.851
30,6.0000,1.34250509e+01,1.53675861e+13,5.280969e-03,96,12.552
31,6.2000,1.41560672e+01,1.53652909e+13,4.517690e-03,96,13.423
32,6.4000,1.48988328e+01,1.53476051e+13,4.935092e-03,96,15.633
33,6.6000,1.56465833e+01,1.53259010e+13,5.048270e-03,96,14.299
34,6.8000,1.64067808e+01,1.52990857e+13,5.793647e-03,96,14.526
35,7.0000,1.71754868e+01,1.52716876e+13,6.536616e-03,96,15.604
36,7.2000,1.79580863e+01,1.52375067e+13,8.109953e-03,96,15.752
37,7.4000,1.87599022e+01,1.52094999e+13,1.115723e-02,96,21.240
38,7.6000,1.95700661e+01,1.51684555e+13,1.885119e-02,96,19.218
39,7.8000,2.03923219e+01,1.51281268e+13,2.765528e-02,96,21.591
40,8.0000,2.11932938e+01,1.50739587e+13,3.654982e-02,96,22.011
41,8.2000,2.19764839e+01,1.50116129e+13,4.411330e-02,96,22.231
42,8.4000,2.27556158e+01,1.49477917e+13,4.641838e-02,96,21.129
43,8.6000,2.35394440e+01,1.48862336e+13,4.740373e-02,96,26.015
44,8.8000,2.43383742e+01,1.48285916e+13,4.282235e-02,96,28.990
45,9.0000,2.51493055e+01,1.47877714e+13,3.958926e-02,96,28.392
46,9.2000,2.59843796e+01,1.47347385e+13,4.881866e-02,96,22.568
47,9.4000,2.68311999e+01,1.46772870e+13,6.481702e-02,96,27.588
48,9.6000,2.76989070e+01,1.46029043e+13,7.454622e-02,96,26.810
49,9.8000,2.85474672e+01,1.45351274e+13,8.215411e-02,96,23.853
50,10.0000,2.93982839e+01,1.44742981e+13,8.892600e-02,96,20.038
51,10.2000,3.02487831e+01,1.44080279e+13,9.474979e-02,96,19.365
52,10.4000,3.11139131e+01,1.43525716e+13,9.765598e-02,96,19.542
53,10.6000,3.19939528e+01,1.43039648e+13,1.026529e-01,96,18.865
54,10.8000,3.29083638e+01,1.42545018e+13,1.046064e-01,96,19.194
55,11.0000,3.38383785e+01,1.41960119e+13,1.036210e-01,96,18.865
56,11.2000,3.47624620e+01,1.41302669e+13,1.013443e-01,96,19.835
57,11.4000,3.56886151e+01,1.40727133e+13,9.734428e-02,96,21.617
58,11.6000,3.66320310e+01,1.40139886e+13,8.779677e-02,96,19.791
59,11.8000,3.75917431e+01,1.39624761e+13,9.088420e-02,96,20.189
60,12.0000,3.85561432e+01,1.39097460e+13,1.076337e-01,96,20.825
61,12.2000,3.95024607e+01,1.38586699e+13,1.219218e-01,96,20.682
62,12.4000,4.04579044e+01,1.38069328e+13,1.331385e-01,96,21.497
63,12.6000,4.14233223e+01,1.37625146e+13,1.394662e-01,96,21.429
64,12.8000,4.24038842e+01,1.37273443e+13,1.406614e-01,96,21.245
65,13.0000,4.33859225e+01,1.36775191e+13,1.405304e-01,96,21.634
66,13.2000,4.43977778e+01,1.36299606e+13,1.355104e-01,96,21.672
67,13.4000,4.53888289e+01,1.35858665e+13,1.301279e-01,96,21.629
68,13.6000,4.64050132e+01,1.35452005e+13,1.259174e-01,96,21.381
69,13.8000,4.74236620e+01,1.35052651e+13,1.195782e-01,96,22.806
70,14.0000,4.84681412e+01,1.34755954e+13,1.124541e-01,96,23.144
